PRank Avg,Avg Rank,Name,Min Rank,Max Rank,Avg Min/Max,Key,Rank 1 (ESPN),PRank 1 (ESPN),Rank 2 (FPros),PRank 2 (FPros),Rank 3 (CBS),PRank 3 (CBS),Rank 4 (Ringer),PRank (Ringer),Rank 5 (NFL),PRank 5 (NFL),Rank 6 (Roto),PRank 6 (Roto)
RB49.3,139.3,Braelon Allen (NYJ),139,140,139.5,,,,,,139,RB52,139,RB44,140,RB52,,
WR58.0,139.3,Romeo Doubs (GB),130,144,137,,,,,,144,WR56,144,WR60,,,130,WR58
QB21.0,140,Anthony Richardson Sr. (IND),140,140,140,,,,,,,,140,QB21,,,,
QB23.5,140,Bryce Young (CAR),134,146,140,,146,QB24,134,QB23,,,,,,,,
RB47.6,140.6,Trey Benson (ARI),125,149,137,,,,143,RB46,125,RB46,149,RB50,139,RB51,147,RB45
RB49.3,141,Jaylen Wright (MIA),136,146,141,,,,,,136,RB50,141,RB45,146,RB53,,
WR60.0,141,Josh Palmer (BUF),141,141,141,,,,,,,,,,141,WR60,,
WR61.0,142,Diontae Johnson (CLE),142,142,142,,,,,,,,,,142,WR61,,
WR63.0,142,Adam Thielen (CAR),142,142,142,,,,,,,,,,,,142,WR63
RB45.0,142.5,Rico Dowdle (CAR),138,147,142.5,,,,147,RB47,,,138,RB43,,,,
WR58.5,142.5,Kyle Williams (NE),135,150,142.5,,,,,,150,WR59,,,135,WR58,,
TE16.8,142.8,Kyle Pitts (ATL),136,149,142.5,,145,TE19,,,,,136,TE17,149,TE15,141,TE16
RB53.0,143,Will Shipley (PHI),143,143,143,,,,,,143,RB53,,,,,,
TE17.0,143,Darren Waller (MIA),136,150,143,,136,TE18,,,,,,,150,TE16,,
WR58.0,143,Cedric Tillman (CLE),140,148,144,,148,WR57,140,WR56,141,WR55,,,,,143,WR64
DST6.0,144,Texans D/ST,144,144,144,,144,DST6,,,,,,,,,,
QB23.0,144.3,Michael Penix Jr. (ATL),141,148,144.5,,141,QB23,144,QB24,,,148,QB22,,,,
QB25.0,146,Geno Smith (LV),146,146,146,,,,146,QB25,,,,,,,,
RB54.0,146,Jerome Ford (CLE),146,146,146,,,,,,146,RB54,,,,,,
K2.0,147,Jake Bates (DET),147,147,147,,147,K2,,,,,,,,,,
WR62.0,148,Xavier Legette (CAR),148,148,148,,,,,,,,,,148,WR62,,
WR58.0,149,Wandale Robinson (NYG),149,149,149,,,,,,149,WR58,,,,,,
QB22.0,150,Cam Ward (TEN),150,150,150,,,,,,,,,,,,150,QB22
RB51.0,150,Blake Corum (LAR),150,150,150,,,,,,,,150,RB51,,,,
